Mes, Año de Año;Dep;Municipio;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2019;Boyacá;Togüí;Contributivo;205;;205;0;205;0;0;0;0;0
diciembre 2019;Boyacá;Togüí;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Togüí;Subsidiado;3742;;0;0;3742;0;0;0;0;3742
diciembre 2019;Boyacá;Soatá;Excepción;523;;0;523;523;0;0;0;0;0
diciembre 2019;Boyacá;Soatá;Poblacion;0;0;0;0;6541,000000000;6541,000000000;0;0;0;0
diciembre 2019;Boyacá;Soatá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Soatá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Soatá;Contributivo;2819;;2819;0;2819;0;0;0;0;0
diciembre 2019;Boyacá;Soatá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Soatá;Subsidiado;5458;;0;0;5458;0;0;0;0;5458
diciembre 2019;Boyacá;Pachavita;Excepción;9;;0;9;9;0;0;0;0;0
diciembre 2019;Boyacá;Pachavita;Poblacion;0;0;0;0;2287;2287;0;0;0;0
diciembre 2019;Boyacá;Pachavita;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Pachavita;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Pachavita;Contributivo;139;;139;0;139;0;0;0;0;0
diciembre 2019;Boyacá;Pachavita;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Pachavita;Subsidiado;1502;;0;0;1502;0;0;0;0;1502
diciembre 2019;Boyacá;Corrales;Excepción;11;;0;11;11;0;0;0;0;0
diciembre 2019;Boyacá;Corrales;Poblacion;0;0;0;0;2180,000000000;2180,000000000;0;0;0;0
diciembre 2019;Boyacá;Corrales;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Corrales;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Corrales;Contributivo;662;;662;0;662;0;0;0;0;0
diciembre 2019;Boyacá;Corrales;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Corrales;Subsidiado;1043;;0;0;1043;0;0;0;0;1043
diciembre 2019;Boyacá;Belén;Excepción;115;;0;115;115;0;0;0;0;0
diciembre 2019;Boyacá;Belén;Poblacion;0;0;0;0;6820;6820;0;0;0;0
diciembre 2019;Boyacá;Belén;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Belén;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Belén;Contributivo;1331;;1331;0;1331;0;0;0;0;0
diciembre 2019;Boyacá;Belén;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Belén;Subsidiado;4854;;0;0;4854;0;0;0;0;4854
diciembre 2019;Boyacá;Sotaquirá;Excepción;25;;0;25;25;0;0;0;0;0
diciembre 2019;Boyacá;Sotaquirá;Poblacion;0;0;0;0;7224;7224;0;0;0;0
diciembre 2019;Boyacá;Sotaquirá;Sisben II;0;;0;0;0;0;0;0;0;0
