Mes, Año de Año;Dep;Regimen;Afiliados;Cobertura;Contributivo;Excepción & Especiales;Personas;Poblacion DANE;PPNA;Sisbén 1;Sisbén 2;Subsidiado
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;3421;;0;0;3421;0;0;0;0;3421
diciembre 2019;Boyacá;Excepción;16;;0;16;16;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;3045,000000000;3045,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;217;;217;0;217;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;1962;;0;0;1962;0;0;0;0;1962
diciembre 2019;Boyacá;Excepción;17;;0;17;17;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;2516;2516;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;92;;92;0;92;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;1681;;0;0;1681;0;0;0;0;1681
diciembre 2019;Boyacá;Excepción;102;;0;102;102;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;8548,000000000;8548,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;1586;;1586;0;1586;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;5997;;0;0;5997;0;0;0;0;5997
diciembre 2019;Boyacá;Excepción;127;;0;127;127;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;5662,000000000;5662,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;589;;589;0;589;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;4698;;0;0;4698;0;0;0;0;4698
diciembre 2019;Boyacá;Excepción;18;;0;18;18;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;4818;4818;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;205;;205;0;205;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;3742;;0;0;3742;0;0;0;0;3742
diciembre 2019;Boyacá;Excepción;523;;0;523;523;0;0;0;0;0
diciembre 2019;Boyacá;Poblacion;0;0;0;0;6541,000000000;6541,000000000;0;0;0;0
diciembre 2019;Boyacá;Sisben II;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Sisben I;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Contributivo;2819;;2819;0;2819;0;0;0;0;0
diciembre 2019;Boyacá;PPNA;0;;0;0;0;0;0;0;0;0
diciembre 2019;Boyacá;Subsidiado;5458;;0;0;5458;0;0;0;0;5458
